,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,SiteEnergyUseWN(kBtu),GHGEmissions(MetricTonsCO2e),ENERGYSTARScore
17,NonResidential,Hotel,7,Downtown,1983,1.0,28.0,416281,85000,331281,Hotel,348329.0,85000.0,0.0,34351920.0,802.89,31.0
18,NonResidential,Mixed Use Property,7,Downtown,1907,1.0,5.0,57452,0,57452,Social/Meeting Hall,16442.0,15505.0,9741.0,7877219.0,273.02,
19,NonResidential,Hotel,7,Downtown,1916,1.0,10.0,104352,0,104352,Hotel,104352.0,0.0,0.0,10154608.0,349.32,39.0
20,NonResidential,Other,7,Downtown,1916,1.0,10.0,540360,0,540360,Courthouse,537150.0,0.0,0.0,47023088.0,1265.29,76.0
21,NonResidential,Other,3,Downtown,1985,1.0,19.0,385274,0,385274,Other,385274.0,0.0,0.0,49539212.0,1699.45,
22,SPS-District K-12,K-12 School,2,Southeast,1961,1.0,2.0,56228,0,56228,K-12 School,58916.0,0.0,0.0,1713623.5,38.53,95.0
23,NonResidential,Hotel,4,Northeast,2001,1.0,6.0,88592,30586,58006,Hotel,58006.0,30586.0,0.0,3673186.75,90.01,84.0
24,NonResidential,University,7,Downtown,1928,1.0,7.0,126593,0,126593,College/University,125000.0,0.0,0.0,12183313.0,388.04,
25,NonResidential,Other,7,Downtown,1930,1.0,2.0,67224,0,67224,Automobile Dealership,67224.0,0.0,0.0,1310236.625,9.13,
26,NonResidential,Hotel,7,East,1991,1.0,8.0,158676,30301,128375,Hotel,112676.0,42000.0,4500.0,5424942.0,256.57,
27,NonResidential,Hotel,7,Downtown,2001,1.0,10.0,171866,38281,133585,Hotel,128909.0,0.0,0.0,11171407.0,328.63,57.0
29,NonResidential,Hotel,7,Downtown,1978,1.0,5.0,68410,16200,52210,Hotel,47994.0,0.0,0.0,4557974.0,128.44,57.0
30,SPS-District K-12,K-12 School,5,North,1949,1.0,2.0,160645,0,160645,K-12 School,164229.0,0.0,0.0,7800349.5,270.18,75.0
32,NonResidential,Small- and Mid-Sized Office,4,Lake union,1906,1.0,3.0,87262,0,87262,Office,40943.0,18153.0,4307.0,4703690.0,157.77,
33,NonResidential,Hotel,4,Northeast,1994,1.0,4.0,81871,0,81871,Hotel,81871.0,0.0,0.0,6731281.5,215.0,29.0
34,NonResidential,Self-Storage Facility,4,Northeast,1955,1.0,2.0,110356,0,110356,Self-Storage Facility,26225.0,0.0,0.0,326223.0938,3.93,
35,Campus,Mixed Use Property,2,Greater duwamish,1992,1.0,3.0,494835,0,494835,Office,757027.0,639931.0,459748.0,471613856.0,16870.98,8.0
36,NonResidential,Warehouse,2,Greater duwamish,1961,3.0,2.0,714095,0,714095,Non-Refrigerated Warehouse,616000.0,276000.0,71000.0,44110016.0,311.84,
37,SPS-District K-12,K-12 School,7,Magnolia / queen anne,1990,1.0,2.0,54986,0,54986,K-12 School,54986.0,0.0,0.0,1802471.375,31.47,97.0
38,SPS-District K-12,K-12 School,4,Northeast,1950,1.0,2.0,175565,0,175565,K-12 School,182861.0,0.0,0.0,7329817.5,266.05,88.0
39,NonResidential,Small- and Mid-Sized Office,6,Ballard,1961,1.0,2.0,94900,0,94900,Office,55586.0,39314.0,0.0,6536359.5,130.56,57.0
40,NonResidential,Small- and Mid-Sized Office,2,Greater duwamish,1900,1.0,2.0,52554,0,52554,Office,51029.0,7849.0,0.0,3150635.5,83.86,83.0
41,NonResidential,K-12 School,6,Northwest,1954,1.0,3.0,175015,0,175015,K-12 School,175015.0,0.0,0.0,7886505.5,247.85,95.0
42,NonResidential,Self-Storage Facility,7,Downtown,1911,1.0,3.0,70586,0,70586,Self-Storage Facility,38439.0,28197.0,3859.0,2331573.25,45.43,
43,NonResidential,Hotel,7,Downtown,1969,1.0,24.0,332210,205970,126240,Hotel,348630.0,0.0,0.0,16163194.0,295.33,67.0
44,NonResidential,Large Office,7,Downtown,1973,1.0,5.0,168115,0,168115,Office,103362.0,65676.0,493.0,9536161.0,66.48,78.0
45,NonResidential,Other,7,Downtown,1920,1.0,2.0,57428,0,57428,Other - Mall,51747.0,5681.0,0.0,1239429.75,33.26,
46,NonResidential,Small- and Mid-Sized Office,7,Downtown,1910,1.0,8.0,59400,0,59400,Office,34947.0,4993.0,0.0,5242479.5,35.36,14.0
47,NonResidential,Mixed Use Property,7,Downtown,1926,1.0,2.0,52549,0,52549,Other - Entertainment/Public Assembly,23500.0,23500.0,5459.0,15683742.0,584.31,
48,NonResidential,Hotel,7,Downtown,1930,1.0,20.0,98634,10043,88591,Hotel,83591.0,10043.0,5000.0,5078816.0,59.19,71.0
49,NonResidential,Hotel,7,Downtown,1982,1.0,34.0,994212,146694,847518,Hotel,994212.0,117668.0,0.0,82318072.0,2451.58,63.0
50,NonResidential,Hotel,7,Downtown,1985,1.0,7.0,71150,0,71150,Hotel,41340.0,13730.0,9604.0,5348309.0,134.38,98.0
51,NonResidential,Hotel,7,Downtown,1908,1.0,7.0,122810,0,122810,Hotel,88360.0,26450.0,8000.0,6088417.5,227.18,99.0
52,NonResidential,Hotel,7,Lake union,1959,1.0,5.0,113173,42546,70627,Hotel,70627.0,42546.0,0.0,5428403.5,144.79,86.0
53,NonResidential,Hotel,7,Lake union,2000,1.0,7.0,150453,34735,115718,Hotel,107547.0,3000.0,0.0,6835263.5,199.95,84.0
54,NonResidential,Hotel,7,Lake union,1997,1.0,6.0,116300,28200,88100,Hotel,88490.0,28300.0,0.0,5941927.0,162.39,80.0
55,NonResidential,Hotel,7,Magnolia / queen anne,1998,1.0,6.0,155602,36744,118858,Hotel,155602.0,0.0,0.0,6849826.5,152.76,81.0
56,NonResidential,K-12 School,3,East,1911,1.0,3.0,56072,0,56072,K-12 School,56072.0,0.0,0.0,3800842.5,146.34,76.0
57,NonResidential,Hotel,7,Magnolia / queen anne,1999,1.0,4.0,122942,44891,78051,Hotel,78051.0,44891.0,0.0,5387530.0,171.64,94.0
58,NonResidential,Small- and Mid-Sized Office,3,Central,1962,1.0,2.0,54984,0,54984,Office,54984.0,0.0,0.0,3630147.25,87.98,71.0
59,NonResidential,Senior Care Community,1,Southwest,1922,1.0,5.0,217603,0,217603,Senior Care Community,296313.0,0.0,0.0,45547252.0,1727.11,54.0
60,NonResidential,Senior Care Community,5,Northwest,1970,1.0,2.0,93397,0,93397,Senior Care Community,93397.0,0.0,0.0,16959754.0,609.1,1.0
61,NonResidential,Hotel,7,Lake union,2008,1.0,6.0,84103,20732,63371,Hotel,63371.0,20732.0,0.0,3787499.0,67.06,74.0
64,NonResidential,Hotel,3,East,1908,1.0,7.0,76631,0,76631,Hotel,76631.0,0.0,0.0,7250730.5,262.75,71.0
65,NonResidential,Mixed Use Property,3,East,1983,1.0,6.0,99780,9341,90439,Medical Office,40174.0,20868.0,17020.0,15684371.0,481.97,
66,NonResidential,Retail Store,7,Lake union,1929,1.0,2.0,58320,0,58320,Retail Store,72072.0,0.0,0.0,1243027.75,39.06,96.0
67,NonResidential,Large Office,7,Lake union,2010,1.0,5.0,316306,0,316306,Office,261826.0,150726.0,15139.0,13909270.0,138.85,96.0
68,NonResidential,Hotel,3,Lake union,1990,1.0,7.0,282863,44766,238097,Hotel,235788.0,51537.0,0.0,20194606.0,526.85,37.0
69,Nonresidential COS,Other,7,Magnolia / queen anne,1962,1.0,1.0,389000,0,389000,Other,368000.0,0.0,0.0,23736924.0,607.41,
70,Nonresidential COS,Other,7,Magnolia / queen anne,1962,1.0,1.0,91213,0,91213,Other,65000.0,0.0,0.0,8181881.0,344.2,
71,Nonresidential COS,Other,7,Magnolia / queen anne,1938,1.0,5.0,396085,0,396085,Other,278500.0,0.0,0.0,21257836.0,804.2,
72,NonResidential,Large Office,7,Lake union,2010,1.0,12.0,571329,0,571329,Office,598801.0,310699.0,26203.0,40153432.0,617.52,91.0
73,Nonresidential COS,Other,7,Magnolia / queen anne,1962,1.0,2.0,52000,0,52000,Other,52000.0,0.0,0.0,2682242.75,101.83,
74,Nonresidential COS,Other,7,Magnolia / queen anne,1928,1.0,1.0,60696,0,60696,Other,108000.0,0.0,0.0,875943.3125,6.11,
75,Nonresidential COS,Other,7,Magnolia / queen anne,1928,1.0,2.0,262048,0,262048,Other,296000.0,0.0,0.0,20823520.0,490.73,
77,NonResidential,Large Office,7,Magnolia / queen anne,2010,1.0,6.0,920598,303707,616891,Office,729584.0,185014.0,6000.0,38105108.0,674.09,93.0
78,NonResidential,Small- and Mid-Sized Office,7,Magnolia / queen anne,1970,1.0,4.0,76213,25930,50283,Office,48546.0,21454.0,2406.0,3647345.75,48.76,68.0
79,NonResidential,Hotel,7,Magnolia / queen anne,2002,1.0,6.0,96910,36934,59976,Hotel,59976.0,36934.0,0.0,5274523.0,152.14,56.0
80,NonResidential,Hotel,4,Northeast,1962,2.0,4.0,50017,0,50017,Hotel,50017.0,0.0,0.0,5528580.5,191.2,53.0
82,NonResidential,K-12 School,3,East,1923,1.0,3.0,67743,0,67743,K-12 School,67743.0,0.0,0.0,3036464.0,78.85,34.0
83,NonResidential,K-12 School,3,East,1908,1.0,6.0,194104,0,194104,K-12 School,194104.0,0.0,0.0,7204080.0,243.23,100.0
84,NonResidential,Small- and Mid-Sized Office,3,Southeast,2003,1.0,3.0,99433,35752,63681,Office,63681.0,35752.0,0.0,4980737.5,34.14,63.0
86,SPS-District K-12,K-12 School,2,Greater duwamish,1957,1.0,1.0,130862,0,130862,K-12 School,134446.0,0.0,0.0,7300977.5,238.48,61.0
87,SPS-District K-12,K-12 School,2,Southeast,1989,1.0,3.0,59955,0,59955,K-12 School,59955.0,0.0,0.0,1749171.25,20.48,93.0
88,SPS-District K-12,K-12 School,7,Magnolia / queen anne,1964,1.0,2.0,93218,0,93218,K-12 School,93218.0,0.0,0.0,3216155.0,84.75,86.0
89,NonResidential,Other,4,Northeast,1941,1.0,4.0,56521,0,56521,Other,49000.0,0.0,0.0,6367210.0,44.32,
90,NonResidential,Other,4,Northeast,1929,1.0,2.0,206934,0,206934,Other,119146.0,0.0,0.0,4384625.5,133.58,
91,NonResidential,Hotel,5,Northwest,2001,1.0,4.0,51390,0,51390,Hotel,51390.0,0.0,0.0,3616214.0,127.29,89.0
92,SPS-District K-12,K-12 School,5,Northwest,1963,1.0,2.0,131013,0,131013,K-12 School,131909.0,0.0,0.0,4290831.5,124.92,88.0
93,SPS-District K-12,K-12 School,5,Northwest,1959,1.0,1.0,245587,0,245587,K-12 School,245587.0,0.0,0.0,12870916.0,443.73,92.0
94,NonResidential,Hotel,5,Northwest,2002,1.0,3.0,69138,0,69138,Hotel,70609.0,0.0,0.0,3323400.5,89.02,78.0
96,NonResidential,Hotel,7,Downtown,1904,1.0,5.0,190980,0,190980,Hotel,190980.0,19051.0,0.0,6505995.0,142.39,98.0
97,Nonresidential COS,Other,7,Downtown,1998,1.0,6.0,284100,0,284100,Other - Entertainment/Public Assembly,189750.0,0.0,0.0,14881950.0,429.12,
98,NonResidential,Hospital,6,Ballard,1954,4.0,5.0,285333,0,285333,Hospital (General Medical & Surgical),302661.0,148865.0,0.0,47602720.0,1990.5,14.0
99,SPS-District K-12,K-12 School,6,Ballard,1991,1.0,2.0,55513,0,55513,K-12 School,59097.0,0.0,0.0,1598852.625,10.55,93.0
100,Nonresidential COS,Other,2,Downtown,2006,1.0,4.0,61156,0,61156,Other,42755.0,29219.0,0.0,9550716.0,176.75,
101,NonResidential,Other,2,Downtown,1910,1.0,4.0,72820,13820,59000,Museum,58000.0,0.0,0.0,2095175.25,46.26,
102,NonResidential,Hotel,7,Magnolia / queen anne,1996,1.0,4.0,162222,14200,148022,Hotel,113702.0,32692.0,0.0,8016521.0,228.4,76.0
103,SPS-District K-12,K-12 School,2,Southeast,1990,1.0,4.0,289588,0,289588,K-12 School,289588.0,0.0,0.0,9542598.0,170.84,90.0
104,NonResidential,University,3,East,1915,1.0,3.0,63330,0,63330,College/University,64820.0,0.0,0.0,3284214.5,74.33,
105,Campus,University,1,Delridge,1970,27.0,2.0,441071,0,441071,College/University,483000.0,0.0,0.0,41151732.0,866.23,
106,NonResidential,Small- and Mid-Sized Office,4,Northeast,2002,1.0,2.0,96300,0,96300,Office,92300.0,4944.0,0.0,16274449.0,222.02,
107,Nonresidential COS,Other,2,Greater duwamish,1950,1.0,1.0,67356,0,67356,"Repair Services (Vehicle, Shoe, Locksmith, etc)",68359.0,0.0,0.0,8086930.5,204.08,
108,SPS-District K-12,K-12 School,3,Central,2008,1.0,3.0,254523,0,254523,K-12 School,254523.0,0.0,0.0,14810159.0,359.09,60.0
109,SPS-District K-12,K-12 School,2,Southeast,2001,1.0,3.0,78804,0,78804,K-12 School,78804.0,0.0,0.0,2677620.75,56.82,92.0
110,SPS-District K-12,K-12 School,3,Central,2002,1.0,3.0,66994,0,66994,K-12 School,66994.0,0.0,0.0,2579774.5,41.74,79.0
111,SPS-District K-12,K-12 School,2,Greater duwamish,2000,1.0,3.0,98357,0,98357,K-12 School,98357.0,0.0,0.0,3783580.25,94.64,88.0
112,NonResidential,Small- and Mid-Sized Office,2,Greater duwamish,1958,1.0,1.0,54765,0,54765,Office,25765.0,25000.0,0.0,4503671.5,61.21,
113,NonResidential,Other,2,Greater duwamish,2009,1.0,5.0,89821,0,89821,Other - Lodging/Residential,46483.0,37938.0,4579.0,2220796.5,100.46,
114,NonResidential,University,7,Magnolia / queen anne,1980,1.0,2.0,52611,0,52611,College/University,52611.0,0.0,0.0,4390158.0,104.26,
115,NonResidential,Residence Hall,7,Magnolia / queen anne,2001,1.0,4.0,139600,37500,102100,Residence Hall/Dormitory,135520.0,0.0,0.0,4800620.5,129.39,89.0
116,SPS-District K-12,K-12 School,5,North,2011,1.0,2.0,236758,0,236758,K-12 School,238550.0,0.0,0.0,9287467.0,222.78,96.0
117,NonResidential,Other,3,Central,1971,3.0,6.0,250981,0,250981,Other,137565.0,78357.0,0.0,14196194.0,422.39,
118,SPS-District K-12,K-12 School,6,Northwest,2002,1.0,3.0,62526,0,62526,K-12 School,62526.0,0.0,0.0,2192411.0,54.07,96.0
119,NonResidential,Other,7,Downtown,2004,1.0,11.0,299070,68432,230638,Other,250000.0,0.0,0.0,66000296.0,2055.82,
120,NonResidential,Small- and Mid-Sized Office,2,Greater duwamish,2007,1.0,3.0,64015,0,64015,Office,30000.0,15000.0,9015.0,3375016.25,49.58,21.0
121,NonResidential,Retail Store,5,North,1951,1.0,1.0,530039,0,530039,Retail Store,505103.0,24936.0,0.0,28763498.0,723.47,98.0
122,NonResidential,Other,5,North,1964,1.0,3.0,54224,0,54224,Other/Specialty Hospital,47012.0,0.0,0.0,7668810.0,231.53,
123,NonResidential,Retail Store,5,North,1965,1.0,4.0,124342,0,124342,Retail Store,122000.0,0.0,0.0,8729918.0,66.3,76.0
124,NonResidential,Hospital,4,Northeast,1953,6.0,10.0,879000,0,879000,Hospital (General Medical & Surgical),879000.0,0.0,0.0,257764208.0,8145.52,10.0
125,NonResidential,Other,5,Northwest,1996,1.0,3.0,55442,0,55442,Financial Office,28636.0,15385.0,8644.0,3313397.0,83.7,72.0
126,SPS-District K-12,K-12 School,6,Ballard,1999,1.0,2.0,242795,0,242795,K-12 School,242795.0,0.0,0.0,9708318.0,123.71,80.0
127,NonResidential,Self-Storage Facility,3,East,1910,1.0,5.0,84870,0,84870,Self-Storage Facility,85521.0,0.0,0.0,1617801.25,51.11,
128,Campus,University,5,Northwest,1970,11.0,2.0,694072,111625,582447,College/University,667335.0,0.0,0.0,37410800.0,362.82,
129,SPS-District K-12,K-12 School,2,Southeast,1952,1.0,2.0,173185,0,173185,K-12 School,173185.0,0.0,0.0,7034167.5,242.36,79.0
130,SPS-District K-12,K-12 School,1,Delridge,1963,1.0,1.0,145341,0,145341,K-12 School,139069.0,0.0,0.0,6337972.0,206.01,75.0
131,NonResidential,Warehouse,2,Greater duwamish,1904,1.0,4.0,114297,0,114297,Non-Refrigerated Warehouse,114297.0,0.0,0.0,2415462.5,69.44,61.0
132,SPS-District K-12,K-12 School,2,Southeast,1960,1.0,2.0,184125,0,184125,K-12 School,184125.0,0.0,0.0,10067991.0,328.97,86.0
134,NonResidential,Warehouse,2,Greater duwamish,1937,1.0,1.0,234144,0,234144,Non-Refrigerated Warehouse,234144.0,0.0,0.0,7874958.5,297.43,87.0
135,NonResidential,Retail Store,1,Delridge,1966,1.0,1.0,64984,0,64984,Retail Store,65425.0,0.0,0.0,3016373.5,35.78,72.0
136,NonResidential,Retail Store,1,Delridge,1965,1.0,1.0,67745,0,67745,Retail Store,67782.0,0.0,0.0,9589728.0,369.14,37.0
137,SPS-District K-12,K-12 School,1,Delridge,2010,1.0,2.0,367884,0,367884,K-12 School,367884.0,0.0,0.0,13279344.0,272.85,97.0
138,SPS-District K-12,K-12 School,1,Delridge,1958,1.0,1.0,46797,0,46797,K-12 School,46797.0,0.0,0.0,2380144.5,73.47,86.0
140,NonResidential,Other,6,Ballard,1973,1.0,3.0,56000,0,56000,Other,56000.0,0.0,0.0,2088978.125,59.34,
141,SPS-District K-12,K-12 School,2,Southeast,2004,1.0,2.0,67371,0,67371,K-12 School,67371.0,0.0,0.0,2260359.75,46.36,92.0
142,NonResidential,Self-Storage Facility,1,Southwest,1969,1.0,2.0,52088,0,52088,Self-Storage Facility,52088.0,0.0,0.0,1576122.875,48.99,
143,SPS-District K-12,K-12 School,4,Lake union,2010,1.0,3.0,127776,0,127776,K-12 School,127776.0,0.0,0.0,4998584.5,80.08,75.0
144,NonResidential,Hotel,3,Lake union,1998,1.0,5.0,123920,30000,93920,Hotel,123920.0,30000.0,0.0,9676783.0,309.6,79.0
145,Nonresidential COS,Other,3,Lake union,1900,1.0,1.0,50000,0,50000,Museum,43000.0,0.0,0.0,7942537.5,225.69,
146,Nonresidential COS,Warehouse,7,Magnolia / queen anne,1926,1.0,2.0,50292,0,50292,Non-Refrigerated Warehouse,42345.0,5000.0,4730.0,430473.6875,3.0,
147,NonResidential,Hotel,7,Magnolia / queen anne,1998,1.0,7.0,207656,54341,153315,Hotel,141591.0,0.0,0.0,11754087.0,338.16,76.0
148,SPS-District K-12,K-12 School,6,Ballard,1999,1.0,2.0,67235,0,67235,K-12 School,67235.0,0.0,0.0,2443194.0,49.12,89.0
149,Nonresidential COS,Small- and Mid-Sized Office,5,Northwest,1957,1.0,2.0,91130,0,91130,Office,57968.0,32881.0,11850.0,10005492.0,175.77,
150,SPS-District K-12,K-12 School,1,Southwest,1991,1.0,3.0,58118,0,58118,K-12 School,59014.0,0.0,0.0,1519074.75,21.29,97.0
151,NonResidential,Hotel,5,Northwest,1968,1.0,4.0,64893,0,64893,Hotel,64893.0,0.0,0.0,6211749.5,208.26,70.0
153,SPS-District K-12,K-12 School,2,Greater duwamish,1925,1.0,1.0,70762,0,70762,K-12 School,70762.0,0.0,0.0,4138032.75,168.88,87.0
154,NonResidential,Small- and Mid-Sized Office,7,Downtown,1900,1.0,3.0,44558,0,44558,Office,34416.0,7672.0,2470.0,1722053.0,28.27,78.0
155,NonResidential,Other,2,Greater duwamish,1999,1.0,6.0,1585960,327680,1258280,Other - Entertainment/Public Assembly,1585960.0,0.0,0.0,62160304.0,892.63,
156,Nonresidential COS,Distribution Center,2,Greater duwamish,1924,1.0,2.0,179161,0,179161,Distribution Center,117476.0,37321.0,25543.0,10168523.0,96.43,
157,Nonresidential COS,Warehouse,2,Greater duwamish,1965,1.0,2.0,58640,0,58640,Non-Refrigerated Warehouse,40831.0,16735.0,11533.0,4327563.5,27.39,
158,NonResidential,Other,2,Greater duwamish,1999,1.0,3.0,1172127,0,1172127,Other - Entertainment/Public Assembly,1172127.0,0.0,0.0,57406988.0,1246.55,
159,NonResidential,Hotel,2,Greater duwamish,2005,1.0,9.0,168449,14567,153882,Hotel,135006.0,20600.0,9216.0,12871628.0,388.37,64.0
161,SPS-District K-12,K-12 School,4,Lake union,1997,1.0,4.0,241066,0,241066,K-12 School,241066.0,0.0,0.0,8886716.0,270.97,79.0
162,Campus,Large Office,1,Greater duwamish,1980,14.0,2.0,334368,31874,302494,Office,240984.0,72963.0,16766.0,54136068.0,748.55,
163,NonResidential,Other,5,North,2008,1.0,6.0,419848,335109,84739,Parking,335109.0,65000.0,13567.0,9238992.0,162.41,
164,NonResidential,Mixed Use Property,7,Magnolia / queen anne,2002,1.0,4.0,110785,0,110785,Multifamily Housing,58563.0,48520.0,29839.0,10864032.0,92.91,
165,Multifamily MR (5-9),Mid-Rise Multifamily,7,Downtown,2003,1.0,7.0,116947,0,116947,Multifamily Housing,81740.0,27403.0,12851.0,10442680.0,279.35,
166,NonResidential,Hotel,7,Downtown,1999,1.0,0.0,934292,0,934292,Hotel,495536.0,438756.0,49700.0,66502836.0,1638.46,
167,NonResidential,Hospital,3,Central,1990,6.0,5.0,597519,0,597519,Hospital (General Medical & Surgical),601615.0,48607.0,0.0,147299056.0,4906.33,34.0
168,SPS-District K-12,K-12 School,1,Delridge,1999,1.0,1.0,71714,0,71714,K-12 School,71714.0,0.0,0.0,2470597.75,36.24,87.0
169,NonResidential,Warehouse,4,Lake union,1991,1.0,3.0,75397,8161,67236,Non-Refrigerated Warehouse,67236.0,8161.0,0.0,571637.5,9.63,91.0
170,NonResidential,Hospital,3,East,2000,9.0,8.0,1158691,0,1158691,Hospital (General Medical & Surgical),1350182.0,387651.0,0.0,296671744.0,10734.57,29.0
171,NonResidential,Senior Care Community,2,Downtown,1999,1.0,5.0,102796,12611,90185,Senior Care Community,55259.0,40091.0,3231.0,10281401.0,193.94,
172,SPS-District K-12,K-12 School,1,Southwest,2002,1.0,2.0,208981,0,208981,K-12 School,208981.0,0.0,0.0,9030149.0,207.79,80.0
173,Multifamily MR (5-9),Mid-Rise Multifamily,7,East,1909,1.0,6.0,51976,0,51976,Multifamily Housing,50350.0,0.0,0.0,4480534.5,145.31,34.0
174,NonResidential,K-12 School,4,Northeast,1928,1.0,2.0,55653,0,55653,K-12 School,55500.0,0.0,0.0,1597907.25,72.88,98.0
175,NonResidential,Hotel,4,Northeast,1931,1.0,16.0,106860,0,106860,Hotel,106860.0,0.0,0.0,12616417.0,469.57,49.0
176,NonResidential,Small- and Mid-Sized Office,5,North,1972,1.0,5.0,50759,0,50759,Office,47079.0,3680.0,0.0,3321734.0,49.09,62.0
177,NonResidential,Worship Facility,4,Northeast,1952,1.0,2.0,56772,0,56772,Worship Facility,56772.0,0.0,0.0,2762805.5,84.57,46.0
178,NonResidential,Worship Facility,4,Northeast,1952,1.0,3.0,103000,0,103000,Worship Facility,103000.0,0.0,0.0,5391782.0,149.93,42.0
179,SPS-District K-12,K-12 School,4,Northeast,2006,1.0,3.0,269297,0,269297,K-12 School,269297.0,0.0,0.0,11208195.0,225.19,80.0
180,SPS-District K-12,K-12 School,4,Northeast,2001,1.0,3.0,75174,0,75174,K-12 School,75174.0,0.0,0.0,3011741.75,71.86,77.0
181,SPS-District K-12,K-12 School,7,Magnolia / queen anne,2003,1.0,3.0,75214,0,75214,K-12 School,75214.0,0.0,0.0,2457326.25,43.98,88.0
182,SPS-District K-12,K-12 School,1,Southwest,2005,1.0,3.0,134918,0,134918,K-12 School,134918.0,0.0,0.0,4135198.25,69.42,91.0
183,SPS-District K-12,K-12 School,3,Central,1991,1.0,2.0,64414,0,64414,K-12 School,65310.0,0.0,0.0,2453255.5,16.0,67.0
184,SPS-District K-12,K-12 School,6,Northwest,1927,1.0,3.0,92437,0,92437,K-12 School,92437.0,0.0,0.0,5280739.0,201.05,78.0
185,NonResidential,Other,7,Downtown,1914,1.0,7.0,128766,0,128766,Other - Entertainment/Public Assembly,109754.0,12876.0,6136.0,6057410.0,57.21,
186,NonResidential,Residence Hall,7,Downtown,1913,1.0,9.0,107572,0,107572,Residence Hall/Dormitory,63934.0,27143.0,10568.0,5879083.0,254.87,76.0
187,NonResidential,Other,7,Downtown,1955,1.0,15.0,230880,0,230880,Other,203000.0,0.0,0.0,61674856.0,433.6,
188,Multifamily LR (1-4),Low-Rise Multifamily,1,Delridge,1917,1.0,4.0,56617,0,56617,Multifamily Housing,56617.0,0.0,0.0,2185550.5,50.52,15.0
189,Multifamily MR (5-9),Mid-Rise Multifamily,5,North,2009,1.0,6.0,56745,0,56745,Multifamily Housing,43673.0,0.0,0.0,2574628.5,59.63,54.0
190,Multifamily LR (1-4),Low-Rise Multifamily,2,Greater duwamish,2003,1.0,4.0,67920,0,67920,Multifamily Housing,24600.0,12917.0,4150.0,2864132.5,23.8,
191,SPS-District K-12,K-12 School,2,Greater duwamish,2007,1.0,3.0,204961,0,204961,K-12 School,204961.0,0.0,0.0,8935423.0,226.06,94.0
